Date,Open,High,Low,Close,Adj Close,Volume
2011-03-23,48.468571,48.602856,47.992859,48.455715,42.944160,93249100
2011-03-24,48.835712,49.428570,48.408573,49.281429,43.675957,101178000
2011-03-25,49.724285,50.294285,49.574287,50.220001,44.507763,112227500
2011-03-28,50.450001,50.617142,50.062859,50.062859,44.368496,77338800
2011-03-29,49.665714,50.137142,49.437141,50.137142,44.434330,88225200
2011-03-30,50.091427,50.125713,49.634285,49.804287,44.139339,82351500
2011-03-31,49.480000,49.971428,49.437141,49.787144,44.124142,68504800
2011-04-01,50.158573,50.227142,49.042858,49.222858,43.624039,104665400
2011-04-04,49.187141,49.228573,48.342857,48.741428,43.197369,115021200
2011-04-05,48.141430,48.892857,48.000000,48.412857,42.906185,120682800
2011-04-06,48.745716,49.128571,48.162857,48.291428,42.798553,100634800
2011-04-07,48.299999,48.632858,48.004284,48.297142,42.803616,93361800
2011-04-08,48.560001,48.592857,47.707142,47.865715,42.421265,94383800
2011-04-11,47.722858,47.952858,47.145714,47.257141,41.881927,99736700
2011-04-12,47.212856,47.675713,47.171429,47.485714,42.084488,106409800
2011-04-13,47.860001,48.020000,47.502857,48.018570,42.556728,86555000
2011-04-14,47.828571,48.000000,47.437141,47.488571,42.087017,75450200
2011-04-15,47.614285,47.662857,46.685715,46.779999,41.459042,113401400
2011-04-18,46.585712,47.461430,45.737144,47.407143,42.014854,152474700
2011-04-19,47.585712,48.282856,47.387142,48.265713,42.775768,104844600
2011-04-20,49.072857,49.392857,48.785713,48.915714,43.351837,175166600
2011-04-21,50.714287,50.732857,49.788570,50.099998,44.401413,188452600
2011-04-25,50.048573,50.535713,50.042858,50.430000,44.693882,66636500
2011-04-26,50.517143,50.712856,49.907143,50.060001,44.365963,84700000
2011-04-27,50.320000,50.335712,49.585712,50.021427,44.331779,89053300
2011-04-28,49.455715,49.964287,49.360001,49.535713,43.901306,90239800
2011-04-29,49.540001,50.564285,49.524284,50.018570,44.329247,251586300
2011-05-02,49.962856,50.067142,49.357143,49.468571,43.841808,110678400
2011-05-03,49.712856,49.984287,49.374287,49.742859,44.084892,78337000
2011-05-04,49.751427,50.261429,49.554287,49.938572,44.258350,97312600
2011-05-05,49.771427,50.135715,49.435715,49.535713,43.901306,83992300
2011-05-06,49.955715,50.000000,49.458572,49.522858,43.889919,70033600
2011-05-09,49.694286,49.885715,49.504284,49.657143,44.008930,51186800
